frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.653299,-1.766470,-1.611859,-2.459964,0.695832,1.038046,3.781169,2.957125,3.647459,-1.036981,-2.863574,-2.185523,0.687771,-4.259151,-1.982078,-1.595260
1,0.042700,0,-1.621389,-1.692589,-1.611859,-3.047359,0.543234,1.177449,2.999732,2.642158,3.054991,-1.170324,-2.549580,-1.954254,0.627240,-1.322479,-1.811517,-1.595260
2,0.085300,0,-1.587511,-1.622150,-1.611859,-1.962596,0.375873,0.622013,2.403468,2.388493,2.607253,-0.634583,-2.256646,-1.673443,0.385117,-1.198089,-1.761207,-1.600523
3,0.128000,0,-1.551815,-1.555515,-1.611859,-1.357054,0.273758,0.133831,1.568277,2.165832,2.225037,-0.154007,-1.994742,-1.346738,0.990426,-1.115884,-1.718921,-1.605787
4,0.170700,0,-1.514038,-1.493303,-1.604656,-1.448698,0.238243,-0.768028,0.518072,1.934010,1.799928,0.759765,-1.770803,-0.967383,1.353611,-1.070455,-1.682969,-1.600523
5,0.213300,0,-1.473281,-1.429061,-1.604656,-1.377435,0.255496,-2.312881,-0.282877,1.791676,1.692697,2.408615,-1.587508,-0.541425,1.293080,-1.048822,-1.515255,-1.558371
6,0.256000,0,-1.430248,-1.368327,-1.345369,-0.748461,0.311637,-2.093534,0.194593,1.629143,1.481525,2.167650,-1.444834,-0.072483,1.232549,-1.081271,-1.472905,-1.358222
7,0.298700,0,-1.384271,-1.311153,-1.215732,-1.331860,0.396873,-1.235001,0.707071,1.448994,1.227196,1.246771,-1.339890,0.434968,1.353611,-1.127782,-1.435873,-1.194919
8,0.341300,0,-1.335783,-1.257430,-1.208529,-0.768975,0.505261,0.303326,0.836577,1.268845,0.990630,-0.321870,-1.266838,0.949854,1.595734,-1.229457,-1.403550,-1.205447
9,0.384000,0,-1.282712,-1.200404,-1.208529,-1.294676,0.634250,-0.539074,1.698166,1.158219,0.973263,0.524553,-1.218177,1.445337,1.353611,-1.344112,-1.248973,-1.210710
10,0.426700,0,-1.226755,-1.150272,-1.208529,-0.988382,0.787117,0.704313,1.504959,1.000383,0.818271,-0.714792,-1.184221,1.859726,1.656265,-1.257580,-1.211917,-1.205447
11,0.469300,0,-1.167386,-1.104137,-1.201326,0.262976,0.978895,1.600915,1.151256,0.844661,0.685121,-1.571030,-1.153313,2.120975,1.474673,-1.047740,-1.180656,-1.205447
12,0.512000,0,-1.103632,-1.061460,-1.201326,0.255959,1.264048,0.082891,1.432841,0.696220,0.580916,-0.102904,-1.111045,2.186706,1.232549,-0.845472,-1.157167,-1.200183
13,0.554700,0,-1.037263,-1.017621,-1.194123,-0.871317,1.900535,-1.220136,1.209027,0.618946,0.630255,1.231203,-1.034477,1.686033,1.172018,-0.835737,-1.032805,-1.194919
14,0.597300,0,-0.998521,-0.976022,-0.934843,-0.748285,1.522700,-1.220136,0.412669,0.643138,0.628808,1.231203,-0.886368,1.737102,1.353611,-0.951474,-0.970852,-1.015825
15,0.640000,0,-0.963078,-0.934686,-0.834005,-1.109366,1.391394,-1.019461,-0.300859,0.652533,0.559996,1.020697,-0.718565,1.341492,1.111487,-0.542611,-0.922485,-0.820940
16,0.682700,0,-0.923952,-0.892135,-0.805199,-1.170163,1.362024,-1.021093,0.302866,0.652533,0.510262,1.022390,-0.569510,0.912216,1.050956,-0.488528,-0.882940,-0.805149
17,0.725300,0,-0.880618,-0.849486,-0.805199,-0.801947,1.343559,0.515602,0.081730,0.626227,0.428819,-0.530684,-0.455419,0.492587,0.990426,-0.528549,-0.848947,-0.815677
18,0.768000,0,-0.831962,-0.804903,-0.805199,-0.496207,1.310833,0.453787,0.415156,0.601800,0.396058,-0.469766,-0.382588,0.105640,1.111487,-0.585877,-0.698725,-0.810413
